DATE,Cash
5/1/2009,107
5/2/2009,89
5/3/2009,90
5/4/2009,55
5/5/2009,79
5/6/2009,19
5/7/2009,2
5/8/2009,103
5/9/2009,107
5/10/2009,118
5/11/2009,75
5/12/2009,111
5/13/2009,25
5/14/2009,16
5/15/2009,137
5/16/2009,95
5/17/2009,103
5/18/2009,80
5/19/2009,118
5/20/2009,30
5/21/2009,7
5/22/2009,118
5/23/2009,104
5/24/2009,59
5/25/2009,40
5/26/2009,106
5/27/2009,18
5/28/2009,9
5/29/2009,136
5/30/2009,118
5/31/2009,64
6/1/2009,77
6/2/2009,133
6/3/2009,45
6/4/2009,14
6/5/2009,20
6/6/2009,147
6/7/2009,105
6/8/2009,132
6/9/2009,93
6/10/2009,26
6/11/2009,7
6/12/2009,112
6/13/2009,91
6/14/2009,72
6/15/2009,66
6/16/2009,82
6/17/2009,24
6/18/2009,4
6/19/2009,134
6/20/2009,95
6/21/2009,82
6/22/2009,90
6/23/2009,99
6/24/2009,17
6/25/2009,3
6/26/2009,117
6/27/2009,53
6/28/2009,44
6/29/2009,56
6/30/2009,110
7/1/2009,36
7/2/2009,12
7/3/2009,128
7/4/2009,72
7/5/2009,122
7/6/2009,100
7/7/2009,108
7/8/2009,25
7/9/2009,6
7/10/2009,22
7/11/2009,135
7/12/2009,69
7/13/2009,52
7/14/2009,81
7/15/2009,27
7/16/2009,4
7/17/2009,147
7/18/2009,102
7/19/2009,83
7/20/2009,55
7/21/2009,74
7/22/2009,22
7/23/2009,4
7/24/2009,104
7/25/2009,81
7/26/2009,61
7/27/2009,70
7/28/2009,126
7/29/2009,33
7/30/2009,7
7/31/2009,126
8/1/2009,92
8/2/2009,81
8/3/2009,49
8/4/2009,146
8/5/2009,79
8/6/2009,37
8/7/2009,136
8/8/2009,111
8/9/2009,78
8/10/2009,57
8/11/2009,106
8/12/2009,38
8/13/2009,15
8/14/2009,119
8/15/2009,110
8/16/2009,68
8/17/2009,60
8/18/2009,92
8/19/2009,22
8/20/2009,11
8/21/2009,121
8/22/2009,89
8/23/2009,62
8/24/2009,79
8/25/2009,83
8/26/2009,31
8/27/2009,4
8/28/2009,96
8/29/2009,50
8/30/2009,52
8/31/2009,56
9/1/2009,104
9/2/2009,27
9/3/2009,13
9/4/2009,107
9/5/2009,125
9/6/2009,103
9/7/2009,42
9/8/2009,90
9/9/2009,29
9/10/2009,8
9/11/2009,2
9/12/2009,84
9/13/2009,62
9/14/2009,77
9/15/2009,78
9/16/2009,25
9/17/2009,8
9/18/2009,113
9/19/2009,71
9/20/2009,94
9/21/2009,59
9/22/2009,89
9/23/2009,18
9/24/2009,6
9/25/2009,115
9/26/2009,81
9/27/2009,61
9/28/2009,71
9/29/2009,69
9/30/2009,36
10/1/2009,14
10/2/2009,104
10/3/2009,73
10/4/2009,86
10/5/2009,85
10/6/2009,126
10/7/2009,31
10/8/2009,9
10/9/2009,114
10/10/2009,78
10/11/2009,45
10/12/2009,60
10/13/2009,91
10/14/2009,22
10/15/2009,7
10/16/2009,75
10/17/2009,66
10/18/2009,64
10/19/2009,51
10/20/2009,94
10/21/2009,23
10/22/2009,4
10/23/2009,127
10/24/2009,61
10/25/2009,
10/26/2009,95
10/27/2009,79
10/28/2009,38
10/29/2009,8
10/30/2009,119
10/31/2009,57
11/1/2009,58
11/2/2009,80
11/3/2009,82
11/4/2009,49
11/5/2009,16
11/6/2009,116
11/7/2009,61
11/8/2009,59
11/9/2009,80
11/10/2009,86
11/11/2009,23
11/12/2009,7
11/13/2009,91
