Index,DATE,Cash
1,5/1/2009,0
2,5/2/2009,0
3,5/3/2009,0
4,5/4/2009,0
5,5/5/2009,0
6,5/6/2009,0
7,5/7/2009,0
8,5/8/2009,0
9,5/9/2009,0
10,5/10/2009,0
11,5/11/2009,0
12,5/12/2009,0
13,5/13/2009,0
14,5/14/2009,0
15,5/15/2009,0
16,5/16/2009,0
17,5/17/2009,0
18,5/18/2009,0
19,5/19/2009,0
20,5/20/2009,0
21,5/21/2009,0
22,5/22/2009,0
23,5/23/2009,0
24,5/24/2009,0
25,5/25/2009,0
26,5/26/2009,0
27,5/27/2009,0
28,5/28/2009,0
29,5/29/2009,0
30,5/30/2009,0
31,5/31/2009,0
32,6/1/2009,0
33,6/2/2009,0
34,6/3/2009,0
35,6/4/2009,0
36,6/5/2009,0
37,6/6/2009,0
38,6/7/2009,0
39,6/8/2009,0
40,6/9/2009,0
41,6/10/2009,0
42,6/11/2009,0
43,6/12/2009,0
44,6/13/2009,0
45,6/14/2009,0
46,6/15/2009,0
47,6/16/2009,0
48,6/17/2009,0
49,6/18/2009,0
50,6/19/2009,0
51,6/20/2009,0
52,6/21/2009,0
53,6/22/2009,0
54,6/23/2009,0
55,6/24/2009,0
56,6/25/2009,0
57,6/26/2009,0
58,6/27/2009,0
59,6/28/2009,0
60,6/29/2009,0
61,6/30/2009,0
62,7/1/2009,0
63,7/2/2009,0
64,7/3/2009,0
65,7/4/2009,0
66,7/5/2009,0
67,7/6/2009,0
68,7/7/2009,0
69,7/8/2009,0
70,7/9/2009,0
71,7/10/2009,0
72,7/11/2009,0
73,7/12/2009,0
74,7/13/2009,0
75,7/14/2009,0
76,7/15/2009,0
77,7/16/2009,0
78,7/17/2009,0
79,7/18/2009,0
80,7/19/2009,0
81,7/20/2009,0
82,7/21/2009,0
83,7/22/2009,0
84,7/23/2009,0
85,7/24/2009,0
86,7/25/2009,0
87,7/26/2009,0
88,7/27/2009,0
89,7/28/2009,0
90,7/29/2009,0
91,7/30/2009,0
92,7/31/2009,0
93,8/1/2009,0
94,8/2/2009,0
95,8/3/2009,0
96,8/4/2009,0
97,8/5/2009,0
98,8/6/2009,0
99,8/7/2009,0
100,8/8/2009,0
101,8/9/2009,0
102,8/10/2009,0
103,8/11/2009,0
104,8/12/2009,0
105,8/13/2009,0
106,8/14/2009,0
107,8/15/2009,0
108,8/16/2009,0
109,8/17/2009,0
110,8/18/2009,0
111,8/19/2009,0
112,8/20/2009,0
113,8/21/2009,0
114,8/22/2009,0
115,8/23/2009,0
116,8/24/2009,0
117,8/25/2009,0
118,8/26/2009,0
119,8/27/2009,0
120,8/28/2009,0
121,8/29/2009,0
122,8/30/2009,0
123,8/31/2009,0
124,9/1/2009,0
125,9/2/2009,0
126,9/3/2009,0
127,9/4/2009,0
128,9/5/2009,0
129,9/6/2009,0
130,9/7/2009,0
131,9/8/2009,0
132,9/9/2009,0
133,9/10/2009,0
134,9/11/2009,0
135,9/12/2009,0
136,9/13/2009,0
137,9/14/2009,0
138,9/15/2009,0
139,9/16/2009,0
140,9/17/2009,0
141,9/18/2009,0
142,9/19/2009,0
143,9/20/2009,0
144,9/21/2009,0
145,9/22/2009,0
146,9/23/2009,0
147,9/24/2009,0
148,9/25/2009,0
149,9/26/2009,0
150,9/27/2009,0
151,9/28/2009,0
152,9/29/2009,0
153,9/30/2009,0
154,10/1/2009,0
155,10/2/2009,0
156,10/3/2009,0
157,10/4/2009,0
158,10/5/2009,0
159,10/6/2009,0
160,10/7/2009,0
161,10/8/2009,0
162,10/9/2009,0
163,10/10/2009,0
164,10/11/2009,0
165,10/12/2009,0
166,10/13/2009,0
167,10/14/2009,0
168,10/15/2009,0
169,10/16/2009,0
170,10/17/2009,0
171,10/18/2009,0
172,10/19/2009,0
173,10/20/2009,0
174,10/21/2009,0
175,10/22/2009,0
176,10/23/2009,0
177,10/24/2009,0
178,10/25/2009,0
179,10/26/2009,0
180,10/27/2009,0
181,10/28/2009,0
182,10/29/2009,0
183,10/30/2009,0
184,10/31/2009,0
185,11/1/2009,0
186,11/2/2009,0
187,11/3/2009,0
188,11/4/2009,0
189,11/5/2009,0
190,11/6/2009,0
191,11/7/2009,0
192,11/8/2009,0
193,11/9/2009,0
194,11/10/2009,0
195,11/11/2009,0
196,11/12/2009,0
197,11/13/2009,0
198,11/14/2009,0
199,11/15/2009,0
200,11/16/2009,0
201,11/17/2009,0
202,11/18/2009,0
203,11/19/2009,0
204,11/20/2009,0
205,11/21/2009,0
206,11/22/2009,0
207,11/23/2009,0
208,11/24/2009,0
209,11/25/2009,0
210,11/26/2009,0
211,11/27/2009,0
212,11/28/2009,0
213,11/29/2009,0
214,11/30/2009,0
215,12/1/2009,0
216,12/2/2009,0
217,12/3/2009,0
218,12/4/2009,0
219,12/5/2009,0
220,12/6/2009,0
221,12/7/2009,0
222,12/8/2009,0
223,12/9/2009,0
224,12/10/2009,0
225,12/11/2009,0
226,12/12/2009,0
227,12/13/2009,0
228,12/14/2009,0
229,12/15/2009,0
230,12/16/2009,0
231,12/17/2009,0
232,12/18/2009,0
233,12/19/2009,0
234,12/20/2009,0
235,12/21/2009,0
236,12/22/2009,0
237,12/23/2009,0
238,12/24/2009,0
239,12/25/2009,0
240,12/26/2009,0
241,12/27/2009,0
242,12/28/2009,0
243,12/29/2009,0
244,12/30/2009,0
245,12/31/2009,0
246,1/1/2010,0
247,1/2/2010,0
248,1/3/2010,0
249,1/4/2010,0
250,1/5/2010,0
251,1/6/2010,0
252,1/7/2010,0
253,1/8/2010,0
254,1/9/2010,0
255,1/10/2010,0
256,1/11/2010,0
257,1/12/2010,0
258,1/13/2010,0
259,1/14/2010,0
260,1/15/2010,0
261,1/16/2010,0
262,1/17/2010,0
263,1/18/2010,0
264,1/19/2010,0
265,1/20/2010,0
266,1/21/2010,0
267,1/22/2010,0
268,1/23/2010,0
269,1/24/2010,0
270,1/25/2010,0
271,1/26/2010,0
272,1/27/2010,0
273,1/28/2010,0
274,1/29/2010,0
275,1/30/2010,0
276,1/31/2010,0
277,2/1/2010,0
278,2/2/2010,0
279,2/3/2010,0
280,2/4/2010,0
281,2/5/2010,0
282,2/6/2010,0
283,2/7/2010,0
284,2/8/2010,0
285,2/9/2010,0
286,2/10/2010,0
287,2/11/2010,0
288,2/12/2010,0
289,2/13/2010,0
290,2/14/2010,0
291,2/15/2010,0
292,2/16/2010,0
293,2/17/2010,0
294,2/18/2010,0
295,2/19/2010,0
296,2/20/2010,0
297,2/21/2010,0
298,2/22/2010,0
299,2/23/2010,0
300,2/24/2010,0
301,2/25/2010,0
302,2/26/2010,0
303,2/27/2010,0
304,2/28/2010,0
305,3/1/2010,0
306,3/2/2010,0
307,3/3/2010,0
308,3/4/2010,0
309,3/5/2010,0
310,3/6/2010,0
311,3/7/2010,0
312,3/8/2010,0
313,3/9/2010,0
314,3/10/2010,0
315,3/11/2010,0
316,3/12/2010,0
317,3/13/2010,0
318,3/14/2010,0
319,3/15/2010,0
320,3/16/2010,0
321,3/17/2010,0
322,3/18/2010,0
323,3/19/2010,0
324,3/20/2010,0
325,3/21/2010,0
326,3/22/2010,0
327,3/23/2010,0
328,3/24/2010,0
329,3/25/2010,0
330,3/26/2010,0
331,3/27/2010,0
332,3/28/2010,0
333,3/29/2010,0
334,3/30/2010,0
335,3/31/2010,0
336,4/1/2010,0
337,4/2/2010,0
338,4/3/2010,0
339,4/4/2010,0
340,4/5/2010,0
341,4/6/2010,0
342,4/7/2010,0
343,4/8/2010,0
344,4/9/2010,0
345,4/10/2010,0
346,4/11/2010,0
347,4/12/2010,0
348,4/13/2010,0
349,4/14/2010,0
350,4/15/2010,0
351,4/16/2010,0
352,4/17/2010,0
353,4/18/2010,0
354,4/19/2010,0
355,4/20/2010,0
356,4/21/2010,0
